== simple ==
Final accuracy: 0.9607
Final loss: 0.1945
Epoch, Accuracy, Loss
1, 0.8299, 1.5478
2, 0.9065, 0.3738
3, 0.9230, 0.3005
4, 0.9336, 0.2563
5, 0.9412, 0.2222
6, 0.9480, 0.1941
7, 0.9532, 0.1709
8, 0.9572, 0.1545
9, 0.9606, 0.1402
10, 0.9631, 0.1312
11, 0.9654, 0.1237
12, 0.9669, 0.1167
13, 0.9682, 0.1124
14, 0.9698, 0.1072
15, 0.9713, 0.1026
16, 0.9721, 0.0997
17, 0.9729, 0.0965
18, 0.9736, 0.0937
19, 0.9744, 0.0917
20, 0.9753, 0.0885

== conv ==
Final accuracy: 0.9759
Final loss: 0.3539
Epoch, Accuracy, Loss
1, 0.9505, 0.3926
2, 0.9787, 0.0697
3, 0.9860, 0.0449
4, 0.9898, 0.0322
5, 0.9923, 0.0249
6, 0.9938, 0.0201
7, 0.9950, 0.0161
8, 0.9957, 0.0144
9, 0.9962, 0.0129
10, 0.9967, 0.0116
11, 0.9970, 0.0113
12, 0.9973, 0.0103
13, 0.9975, 0.0097
14, 0.9977, 0.0093
15, 0.9979, 0.0085
16, 0.9979, 0.0091
17, 0.9980, 0.0089
18, 0.9982, 0.0083
19, 0.9984, 0.0075
20, 0.9983, 0.0084

== pool ==
Final accuracy: 0.9842
Final loss: 0.1175
Epoch, Accuracy, Loss
1, 0.9411, 0.3711
2, 0.9770, 0.0765
3, 0.9818, 0.0598
4, 0.9845, 0.0505
5, 0.9865, 0.0436
6, 0.9878, 0.0388
7, 0.9895, 0.0331
8, 0.9905, 0.0301
9, 0.9915, 0.0272
10, 0.9920, 0.0255
11, 0.9927, 0.0232
12, 0.9931, 0.0223
13, 0.9936, 0.0208
14, 0.9940, 0.0198
15, 0.9945, 0.0185
16, 0.9942, 0.0197
17, 0.9948, 0.0177
18, 0.9953, 0.0170
19, 0.9953, 0.0166
20, 0.9952, 0.0178

